ID,Section,Requirement Statement,Type,Priority,Verification Methods (from SRS),Primary Method (select),Acceptance Criteria,Agent Procedure (step-by-step),Evidence to Collect,Owner/Role,Phase/Gate,Status,Date Last Updated,Test Case ID / Link,Upstream Trace,Downstream Trace,Notes
TRW-014,9.2 Versioning & Bump Logic,"The workflow **shall emit outputs**: `MAJOR`, `MINOR`, `PATCH`, `BUILD_NUMBER`, `VERSION_STRING`, and `IS_PRERELEASE`.",Interface,High,Test,Test,"`MAJOR`, `MINOR`, `PATCH`, `BUILD_NUMBER`, `VERSION_STRING`, and `IS_PRERELEASE` are exported and visible to subsequent steps.",Run the version step and capture exported outputs.,Job output or `GITHUB_OUTPUT` file contents.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 124; Compute-version action exports MAJOR, MINOR, PATCH, BUILD_NUMBER, VERSION_STRING, and IS_PRERELEASE for downstream steps."
TRW-015,9.2 Versioning & Bump Logic,Pre‑release suffix rules **shall** be applied by branch: `release-alpha/*` → `alpha.<BUILD>`; `release-beta/*` → `beta.<BUILD>`; `release-rc/*` → `rc.<BUILD>`; other allowed stable branches → **no suffix**.,Functional,High,Test,Test,"Suffixes match `alpha.<BUILD>`, `beta.<BUILD>`, `rc.<BUILD>`; stable has none.","Execute the workflow on `release-alpha/*`, `release-beta/*`, and `release-rc/*` branches and on a stable branch.
Verify suffix formation per branch and that stable branches have no suffix.",Computed version strings for each branch case.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 125; Compute-version action applies suffixes alpha.<BUILD>, beta.<BUILD>, rc.<BUILD> for release-alpha/beta/rc branches and no suffix for stable branches."
TRW-016,9.2 Versioning & Bump Logic,Stable branches **shall** produce versions **without** any pre‑release suffix; pre‑release branches **shall** include the configured suffix.,Functional,High,Test,Test,Stable branches produce suffix-free versions; prerelease branches include suffix.,"Trigger runs on stable vs prerelease branches.
Confirm that only prerelease branches append a suffix.",Logs showing `IS_PRERELEASE` and final version strings.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 126; Compute-version action marks prerelease branches with suffix and sets IS_PRERELEASE=true; stable branches emit no suffix and IS_PRERELEASE=false.
TRW-020,9.3 Tag Naming & Uniqueness,The tag name format **shall be** `v<MAJOR>.<MINOR>.<PATCH>.<BUILD>`.,Interface,High,"Inspection, Test",Inspection,Tag string matches exact pattern `vX.Y.Z.N`.,"Confirm tag format logic produces `v<MAJOR>.<MINOR>.<PATCH>.<BUILD>` (with optional suffix in version, not in tag).
Generate example tags from computed version.",Printed tag value; regex check result.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 132; draft-release workflow forms tags as v<MAJOR>.<MINOR>.<PATCH>.<BUILD> without prerelease suffix.
TRW-021,9.3 Tag Naming & Uniqueness,"Before creating a tag, the workflow **shall check** for an existing tag with the same name and, if present, **shall retrieve its target SHA**.",Functional,High,Test,Test,"If tag exists, corresponding object SHA is retrieved.","Query repository for tag existence (via `git ls-remote --tags` or API).
Capture SHA if present.",Command output or API response showing tag and SHA.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 133; draft-release workflow checks origin for existing tag and captures SHA via git ls-remote before creation.
TRW-022,9.3 Tag Naming & Uniqueness,"If the tag exists and **resolves to the same commit** SHA as the current run, the workflow **shall treat the condition as success** and **shall not** create a duplicate tag; release creation may be skipped per configuration.",Functional,High,Test,Test,Existing tag on same commit is treated as success; no duplicate operations performed.,"Create a tag on the same commit and rerun workflow.
Observe that run treats it as success and optionally skips release creation per config.",Logs indicating detection of same-commit tag and skip path.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 134; draft-release workflow treats existing tag on same commit as success and skips duplicate creation.
TRW-023,9.3 Tag Naming & Uniqueness,"If the tag exists and **resolves to a different commit**, the workflow **shall fail** with a clear conflict diagnostic and **shall not** move or overwrite the tag.",Functional,High,Test,Test,Workflow fails with explicit diagnostic; tag is not moved or overwritten.,"Create a tag with the same name but pointing to a different commit.
Run the workflow and observe failure and no overwrite.",Logs with the two SHAs and failure status.; Tag ref still points to original commit.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 135; draft-release workflow fails if existing tag points to a different commit and does not overwrite it.
TRW-024,9.3 Tag Naming & Uniqueness,The workflow **shall prevent** different branches from generating identical tags by incorporating BUILD and (where applicable) pre‑release suffix rules in §9.2.,Quality/Design Constraint,High,"Analysis/Simulation, Test",Analysis/Simulation,Different branches do not produce identical tags; collision path is blocked.,"Run two branches that could compute the same version (e.g., ensure build numbers or suffixes disambiguate).
Verify the workflow prevents identical tag generation across branches.",Logs showing branch-safe versioning decision.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 136; draft-release workflow fails on conflicting existing tags, ensuring different branches cannot produce identical tags and overwrite each other."
TRW-030,9.4 Artifact Requirements & Validation,The workflow **shall rely on artifacts** uploaded by the upstream CI run associated with the triggering `workflow_run`.,Functional,High,Demonstration,Demonstration,Workflow downloads artifacts from upstream run.,Verify presence of artifact download step referencing the upstream `workflow_run` ID.,Logs of artifact download with run ID.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 142; draft-release workflow downloads artifacts from the triggering workflow_run via actions/download-artifact using run-id.
TRW-031,9.4 Artifact Requirements & Validation,The workflow **shall download** the artifacts of the triggering `workflow_run`.,Functional,High,Test,Test,Artifacts are retrieved to the runner workspace.,Enumerate artifacts available from `workflow_run` and download them.,Artifact list and local file tree snapshot.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 143; draft-release workflow downloads artifacts from triggering workflow_run and lists them under artifacts/ for verification.
TRW-032,9.4 Artifact Requirements & Validation,The workflow **shall locate exactly one** `.vip` package and **exactly one** release notes Markdown file within the downloaded artifacts.,Functional,High,Test,Test,Exactly one of each required artifact is located.,Search the artifacts for exactly one `.vip` package and exactly one release-notes markdown file.,File list with counts; names of selected files.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 144; draft-release workflow enforces exactly one .vip and one release_notes_*.md in artifacts, failing on missing or plural occurrences."
TRW-033,9.4 Artifact Requirements & Validation,The filenames of those artifacts **shall contain** the computed `VERSION_STRING` to enforce **version–artifact consistency**.,Quality,High,Test,Test,Both filenames contain the computed version string.,Compare computed `VERSION_STRING` against artifact filenames.,Screenshot or log of filename match check.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 145; draft-release workflow validates both artifact filenames contain computed version string.
TRW-034,9.4 Artifact Requirements & Validation,"If any required artifact is missing or pluralized, the workflow **shall fail** with an actionable diagnostic.",Functional,High,Test,Test,"Workflow fails when artifacts are missing/duplicated, with specific error code/message.","Simulate missing or pluralized artifacts by removing or duplicating files.
Run the workflow to observe failure with actionable diagnostics.",Failure logs including diagnostic details.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 146; Locate-artifacts step fails with detailed counts and file list when required artifacts are missing or duplicated.
TRW-040,9.5 Release Creation & Publishing,The workflow **shall create a draft GitHub Release** and attach the `.vip` and release notes assets.,Functional,High,Test,Test,Draft release exists with both `.vip` and release notes attached.,Call the Releases API (or use action) to create a draft release with assets.,Release page URL and asset list.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 152; draft-release workflow uses softprops/action-gh-release to create a draft release with .vip and release notes attached.
TRW-041,9.5 Release Creation & Publishing,The GitHub Release **shall set** the **prerelease flag** according to `IS_PRERELEASE`.,Interface,High,Test,Test,Release `prerelease` flag matches computed `IS_PRERELEASE`.,"Ensure `prerelease` flag in release object follows `IS_PRERELEASE`.
Verify both true and false cases.",API response or UI screenshot for both cases.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 153; Releases created/updated with prerelease flag set from IS_PRERELEASE output.
TRW-042,9.5 Release Creation & Publishing,"When a release with the computed tag already exists, the workflow **shall update** that release record rather than create a new one.",Functional,Medium,Test,Test,Existing release is updated in place; no duplicate release is created.,"If a release with the computed tag exists, update it rather than creating a new one.","Release history showing updates, not new creation.",Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 154; Publish step reuses existing release if present, otherwise creates and updates the same release record (no duplicates)."
TRW-043,9.5 Release Creation & Publishing,"Upon successful validation, the workflow **shall publish** the release (transition from draft) and **shall mark it as latest** per repository policy.",Functional,High,Test,Test,Release is published and marked latest (if applicable).,Transition a draft to published and set as latest per repo policy.,Release status in UI/API.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 155; draft-release publish step updates existing release, sets draft=false, make_latest=true, and respects prerelease flag."
TRW-044,9.5 Release Creation & Publishing,All operations **shall authenticate** using `GITHUB_TOKEN` with `contents: write`.,Interface/Security,High,"Inspection, Test",Inspection,`GITHUB_TOKEN` scopes allow required operations.,"Confirm `GITHUB_TOKEN` permissions include `contents: write`.
Attempt an operation requiring those permissions and confirm success.",Permission settings and successful API call logs.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 156; Workflow/job permissions grant contents: write and all release/tag operations use GITHUB_TOKEN.
TRW-050,"9.6 Error Handling, Retries & Robustness","Tag push operations **shall be retried** (minimum 3 attempts, ≥5s back‑off between attempts).",Quality/Reliability,Medium,Test,Test,"Tag push is retried (e.g., 3 attempts, 5s delay) before final failure/success.","Attempt to push tag with a simulated transient error and verify retry mechanism (e.g., mock failure or use retryable command).",Logs showing retry count and delays.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 162; Tag creation step retries push 3 times with 5s backoff before failing.
TRW-051,"9.6 Error Handling, Retries & Robustness",Release API operations **shall detect** a not‑found (404) response and **shall create** the release; other API errors **shall be handled gracefully** with diagnostics and non‑destructive behavior.,Quality/Reliability,High,Test,Test,404 triggers creation path; other errors are surfaced with graceful handling.,"Invoke release API to fetch by tag; if 404, create release; handle other codes per policy.",Logs for 404 branch and for non-404 error handling.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 163; Publish step handles 404 by creating release and surfaces other errors gracefully (no destructive actions).
TRW-052,"9.6 Error Handling, Retries & Robustness",The workflow **shall be non‑destructive** with respect to existing tags; it **shall never move** an existing tag ref.,Quality/Safety,High,"Inspection, Test",Inspection,Existing tags are never moved automatically.,Create an existing tag and attempt to move it; verify the workflow refuses to force-update.,Git command logs; tag ref remains unchanged.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 164; draft-release workflow refuses to move existing tags (fails on conflict, never force-updates)."
TRW-053,"9.6 Error Handling, Retries & Robustness","Re‑runs of the workflow for the same commit and computed version **shall be idempotent**, producing no duplicate tags or releases and no conflicting state.",Quality,High,Test,Test,No duplicate tags/releases are created on re-runs; operations are idempotent.,Re-run the workflow for the same commit and inputs twice.,Run history and resulting refs/releases (no duplicates).,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 165; draft-release workflow skips existing same-commit tags and upserts releases, preventing duplicates on reruns."
TRW-060,9.7 Observability & Logging,"The workflow **shall log** at start: commit SHA, head branch, upstream `workflow_run` ID, computed `VERSION_STRING`.",Process/Usability,Medium,"Inspection, Demonstration",Inspection,All required context fields are logged in a structured way.,"Check logs include commit SHA, branch, workflow_run ID, and version string.",Log excerpts with the four fields present.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 171; draft-release logs commit, branch, workflow_run ID, and version via context logging step."
TRW-061,9.7 Observability & Logging,"The workflow **shall log** decision outcomes: bump type, suffix rule applied, tag existence outcome, artifact discovery results.",Process/Usability,Medium,"Inspection, Demonstration",Inspection,Each decision point emits a structured log entry.,"Confirm decision logs for bump, suffix rules, tag existence, and artifact discovery.",Collected log entries covering all decision items.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 172; Workflow logs bump type, suffix application, tag existence outcome, and artifact discovery decisions."
TRW-062,9.7 Observability & Logging,"All failure conditions **shall include** actionable diagnostics indicating detection point, probable cause, and remediation guidance.",Process/Quality,High,Inspection,Inspection,"Failures include actionable diagnostics (errors, causes, next steps).",Induce a few failure modes and check that detailed diagnostics are emitted.,Failure logs for representative cases.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 173; Failure paths emit actionable diagnostics with detection point, cause, and remediation (tag conflicts, push retries, artifact validation)."
TRW-070,9.8 Efficiency & Runner Behavior,The workflow **shall perform a single repository checkout** per job.,Process/Efficiency,Medium,Inspection,Inspection,Only one checkout step is present.,Ensure repository uses a single `actions/checkout` per job.,Workflow YAML highlighting checkout usage.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 179; draft-release job performs a single actions/checkout step.
TRW-071,9.8 Efficiency & Runner Behavior,The workflow **shall ensure full Git history** is available for tag reachability and commit counting.,Process/Correctness,High,"Inspection, Test",Inspection,Full git history is available to the job.,Verify `fetch-depth: 0` or equivalent full-history fetch is configured.,Checkout step config and `git rev-list` depth proof.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 180; draft-release checkout uses fetch-depth: 0 for full history to support reachability and commit counting.
TRW-072,9.8 Efficiency & Runner Behavior,The workflow **shall not leave persistent configuration side effects** on self‑hosted runners (no global git config mutations beyond the job scope).,Process/Safety,High,Inspection,Inspection,Runner state is clean post-run (no orphaned files/tokens/config).,Run on a self-hosted runner and verify no persistent configuration side effects remain after completion.,"Before/after runner state diff, cleanup logs.",Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,Derived from SRS line 181; Workflow uses local git config only; no global/persistent state changes on runners.
CLA-001,9.9 CLA Policy & Access Control,"The organization **shall maintain** a single `cla-manifest` repository as the authoritative source of CLA status, with each record including at minimum: `github`, `cla_type`, `cla_version`, `signed_on`, `status`, and `evidence_ref`.",Process/Compliance,High,"Inspection, Analysis",Inspection,A central cla-manifest repository exists and its manifest includes the required fields for contributor records.,Locate the org-level cla-manifest repository; inspect manifest.json; confirm a sample of contributor entries contains the required keys.,Link to cla-manifest repository; manifest.json excerpt showing required keys; governance doc naming it as canonical.,Org Governance / Automation QA,Org Governance,Planned,2025-11-23,,ADR-2025-002-CLA-001,,Derived from ADR-2025-002 requirement CLA-001; centralizes CLA status for all repos.
CLA-002,9.9 CLA Policy & Access Control,The reusable `cla-gate` workflow **shall validate** each pull request by checking the PR author and all non-bot commit authors against the CLA manifest and **shall fail** when any required entry is missing or not active.,Process/Compliance,High,"Inspection, Test",Test,"When PR author and all non-bot commit authors have active manifest entries, the CLA gate passes; otherwise it fails with clear diagnostics.",Open a PR where all authors are present and active in the manifest and observe `cla-gate` success; open another where at least one author is missing or revoked and observe a failing `cla-gate` check with explicit messages.,CI logs from `cla-gate` runs for passing and failing scenarios; manifest excerpts for tested users.,Automation QA (Agent),CI Integration,Planned,2025-11-23,,ADR-2025-002-CLA-002,,Derived from ADR-2025-002 requirement CLA-002; ensures CLA eligibility is enforced per PR author and commit authors.
CLA-003,9.9 CLA Policy & Access Control,"Repositories adopting the org-level CLA policy **shall invoke** the `cla-gate` workflow on pull requests targeting protected branches (for example, `main`, `develop`, `release/*`, and `feature/*`).",Process/Compliance,High,Inspection,Inspection,Participating repositories include a CLA gate job in CI that runs on pull requests to protected branches.,Inspect `.github/workflows` in this and a sample of other repos to confirm they call the reusable `cla-gate` workflow for pull_request events on protected branches.,Workflow YAML snippets showing `cla-gate` invocation on PRs targeting protected branches.,Automation QA (Agent),CI Integration,Planned,2025-11-23,,ADR-2025-002-CLA-003,,Derived from ADR-2025-002 requirement CLA-003; ensures CLA checks are wired into CI for protected branches.
CLA-004,9.9 CLA Policy & Access Control,Protected branches **shall require** the `cla-gate` status check to pass before merges are allowed.,Process/Compliance,High,Inspection,Inspection,"Branch protection for `main`, `develop`, and release/feature branches lists `cla-gate` as a required status check.",Review branch protection rules (or rulesets) for protected branches and confirm `cla-gate` is configured as a required check before merge.,Screenshots or configuration exports of branch protection/rulesets showing `cla-gate` as a required status check.,Automation QA (Agent),CI Integration,Planned,2025-11-23,,ADR-2025-002-CLA-004,,Derived from ADR-2025-002 requirement CLA-004; ties CLA enforcement to GitHub branch protection.
CLA-005,9.9 CLA Policy & Access Control,The `cla-manifest` and CLA automation repositories **shall be protected** with CODEOWNERS and branch protection rules to prevent unauthorized or unreviewed changes to CLA policy or data.,Process/Compliance,High,Inspection,Inspection,CODEOWNERS and branch protection are configured for the manifest and automation repositories to restrict who can modify CLA policy or data.,Inspect CODEOWNERS and branch protection settings in the `cla-manifest` and `cla-automation` repositories to verify only authorized teams can change CLA manifests and workflows.,CODEOWNERS excerpts and branch protection configuration for the manifest and automation repositories.,Org Governance,Org Governance,Planned,2025-11-23,,ADR-2025-002-CLA-005,,Derived from ADR-2025-002 requirement CLA-005; hardens CLA-related repos against unauthorized changes.
CLA-006,9.9 CLA Policy & Access Control,The reusable `cla-gate` workflow **shall not hardcode** an organization; it **shall accept** inputs `cla_manifest_repository` and `cla_manifest_file` and use a provided token with minimal required scopes to read the manifest.,Process/Compliance,High,Inspection,Inspection,`cla-gate` declares `cla_manifest_repository` and `cla_manifest_file` inputs and does not embed an org-specific repo in code.,Inspect the reusable `cla-gate` workflow definition to confirm manifest inputs and absence of hardcoded org.,Workflow YAML excerpt showing manifest inputs; absence of hardcoded org in gate logic.,Automation QA (Agent),CI Integration,Planned,2025-11-23,,ADR-2025-002-CLA-006,,Derived from ADR-2025-002 requirement CLA-006; ensures the gate is org-agnostic and portable.
CLA-007,9.9 CLA Policy & Access Control,"The CLA manifest scope **may be per organization or per repository**; the gate **shall enforce** the manifest it is configured to use, and differences across manifests are acceptable.",Process/Compliance,Medium,Inspection,Inspection,`cla-gate` accepts manifest repo/path inputs and is documented as allowing per-org or per-repo scopes; no implicit org is assumed.,Inspect `cla-gate` docs and inputs to confirm manifest scope is configurable per invocation and no hardcoded org is present.,Workflow docs/excerpt showing manifest scope inputs and org-agnostic design.,Automation QA (Agent),CI Integration,Planned,2025-11-23,,ADR-2025-002-CLA-007,,Derived from ADR-2025-002 requirement CLA-007; allows per-repo or per-org manifests with the gate enforcing the configured source.
CLA-008,9.9 CLA Policy & Access Control,The `cla-gate` workflow **shall surface** which `cla_manifest_repository` and `cla_manifest_file` were used and list any PR author or commit authors that failed the check.,Process/Compliance,High,Inspection,Inspection,`cla-gate` logs/outputs the manifest repo/file used and enumerates failing handles (author and commit authors) when the check fails.,Inspect `cla-gate` job logs/output for manifest source info and failed handles when a CLA check fails.,CI log excerpt showing manifest source and failing handles.,Automation QA (Agent),CI Integration,Planned,2025-11-23,,ADR-2025-002-CLA-008,,Derived from ADR-2025-002 requirement CLA-008; improves observability for CLA enforcement.
CLA-009,9.9 CLA Policy & Access Control,The `cla-gate` workflow **shall support** forked PRs by allowing read-only manifest mode when no token is provided for public manifests and **shall fail closed** on protected branches when manifest access fails.,Process/Compliance,High,Inspection,Inspection,"`cla-gate` handles public-manifest reads without a token for fork PRs, and fails closed on protected branches when manifest access fails.",Inspect `cla-gate` behavior/config to confirm read-only mode without a token for public manifests and fail-closed behavior on protected branches if manifest access is denied.,Workflow logic/docs demonstrating fork support and fail-closed behavior on protected branches.,Automation QA (Agent),CI Integration,Planned,2025-11-23,,ADR-2025-002-CLA-009,,Derived from ADR-2025-002 requirement CLA-009; supports forks while keeping protected branches safe.
CLA-010,9.9 CLA Policy & Access Control,Documentation **shall provide** a minimal fork-friendly workflow snippet showing how to set `cla_manifest_repository`/`cla_manifest_file` inputs so forks can reuse the upstream manifest without hardcoded org names.,Process/Compliance,Medium,Inspection,Inspection,Contributor/maintainer docs include a copy-paste snippet for forks showing `cla_manifest_repository`/`cla_manifest_file` inputs and no hardcoded org names.,Inspect documentation to confirm a fork-friendly `cla-gate` snippet with manifest inputs and org-agnostic references.,Doc excerpt with fork-friendly snippet.,Automation QA (Agent),CI Integration,Planned,2025-11-23,,ADR-2025-002-CLA-010,,Derived from ADR-2025-002 requirement CLA-010; makes the gate easy to reuse in forks.
CLA-011,9.9 CLA Policy & Access Control,"The `cla-gate` workflow **shall treat** the manifest as read-only, never writing or updating manifest data, and **shall use** a minimal-scope token (e.g., contents:read) when a token is provided.",Process/Compliance,High,Inspection,Inspection,`cla-gate` does not write to the manifest and uses a read-only/minimal-scope token for manifest access.,Inspect `cla-gate` workflow logic to confirm no write operations and token scopes are read-only/minimal.,Workflow logic/config showing no writes and minimal token scopes.,Automation QA (Agent),CI Integration,Planned,2025-11-23,,ADR-2025-002-CLA-011,,Derived from ADR-2025-002 requirement CLA-011; ensures the gate is read-only and least-privilege.
